Country,Code,Population,GDP_per_Capita,count(*)
Australia,AUS,23781169,56310.9629933721,12
Austria,AUT,8611088,43774.985173612,121
Belarus,BLR,9513000,5740.45649479562,14
Belgium,BEL,11285721,40324.0277657215,1
Bulgaria,BUL,7177991,6993.47735975728,5
Canada,CAN,35851774,43248.529909341,119
China,CHN,1371220000,8027.68381013907,48
Croatia,CRO,4224404,11535.8293558997,11
Czech Republic,CZE,10551219,17548.3382129701,24
Denmark,DEN,5676002,51989.2934712354,1
Estonia,EST,1311998,17118.5042003236,7
Finland,FIN,5482013,42311.0362306446,56
France,FRA,66808385,36205.5681017036,68
Germany,GER,81413145,41313.3139945434,186
Italy,ITA,60802085,29957.8043154372,86
Japan,JPN,126958472,32477.2151449234,37
Kazakhstan,KAZ,17544126,10509.9810699442,7
"Korea, North",PRK,25155317,,1
"Korea, South",KOR,50617045,27221.5240509661,45
Latvia,LAT,1978440,13648.5475564772,7
Liechtenstein,LIE,37531,,1
Luxembourg,LUX,569676,101449.968168042,2
Netherlands,NED,16936520,44299.768085383,66
New Zealand,NZL,4595700,37807.9672760442,1
Norway,NOR,5195921,74400.3697770928,162
Poland,POL,37999494,12554.5475536313,16
Russia,RUS,144096812,9092.58053606884,121
Slovakia,SVK,5424050,16088.2775872723,5
Slovenia,SLO,2063768,20726.5398863708,14
Spain,ESP,46418269,25831.5823052954,1
Sweden,SWE,9798871,50579.6736486777,61
Switzerland,SUI,8286976,80945.0792194742,75
Ukraine,UKR,45198200,2114.95471628444,7
United Kingdom,GBR,65138232,43875.9696143686,11
United States,USA,321418820,56115.7184261955,141
Uzbekistan,UZB,31299500,2132.07036847857,1
