Country,Code,Population,GDP_per_Capita,Year,City,Sport,Discipline,Athlete,Gender,Event,Medal
Afghanistan,AFG,32526562,594.323081219966,2008,Beijing,Taekwondo,Taekwondo,"NIKPAI, Rohullah",Men,- 58 KG,Bronze
Afghanistan,AFG,32526562,594.323081219966,2012,London,Taekwondo,Taekwondo,"NIKPAI, Rohullah",Men,58 - 68 KG,Bronze
Algeria,ALG,39666519,4206.03123244958,1984,Los Angeles,Boxing,Boxing,"ZAOUI, Mohamed",Men,71-75KG,Bronze
Algeria,ALG,39666519,4206.03123244958,1984,Los Angeles,Boxing,Boxing,"MOUSSA, Mustapha",Men,75 - 81KG (Light-Heavyweight),Bronze
Algeria,ALG,39666519,4206.03123244958,1992,Barcelona,Athletics,Athletics,"BOULMERKA, Hassiba",Women,1500M,Gold
Algeria,ALG,39666519,4206.03123244958,1992,Barcelona,Boxing,Boxing,"SOLTANI, Hocine",Men,54 - 57KG (Featherweight),Bronze
Algeria,ALG,39666519,4206.03123244958,1996,Atlanta,Athletics,Athletics,"MORCELI, Nourredine",Men,1500M,Gold
Algeria,ALG,39666519,4206.03123244958,1996,Atlanta,Boxing,Boxing,"SOLTANI, Hocine",Men,57 - 60KG (Lightweight),Gold
Algeria,ALG,39666519,4206.03123244958,1996,Atlanta,Boxing,Boxing,"BAHARI, Mohamed",Men,71-75KG,Bronze
Algeria,ALG,39666519,4206.03123244958,2000,Sydney,Athletics,Athletics,"MERAH-BENIDA, Nouria",Women,1500M,Gold
Algeria,ALG,39666519,4206.03123244958,2000,Sydney,Athletics,Athletics,"SAIDI-SIEF, Ali",Men,5000M,Silver
Algeria,ALG,39666519,4206.03123244958,2000,Sydney,Athletics,Athletics,"SAID GUERNI, Djabir",Men,800M,Bronze
Algeria,ALG,39666519,4206.03123244958,2000,Sydney,Athletics,Athletics,"HAMMAD, Abderrahmane",Men,High Jump,Bronze
Algeria,ALG,39666519,4206.03123244958,2000,Sydney,Boxing,Boxing,"ALLALOU, Mohamed",Men,60 - 63.5KG (Light-Welterweight),Bronze
Algeria,ALG,39666519,4206.03123244958,2008,Beijing,Judo,Judo,"HADDAD, Soraya",Women,48 - 52KG (Half-Lightweight),Bronze
Algeria,ALG,39666519,4206.03123244958,2008,Beijing,Judo,Judo,"BENIKHLEF, Amar",Men,81 - 90KG (Middleweight),Silver
Algeria,ALG,39666519,4206.03123244958,2012,London,Athletics,Athletics,"MAKHLOUFI, Taoufik",Men,1500M,Gold
Argentina,ARG,43416755,13431.8783398577,1924,Paris,Athletics,Athletics,"BRUNETO, Luis",Men,Triple Jump,Silver
Argentina,ARG,43416755,13431.8783398577,1924,Paris,Boxing,Boxing,"PORZIO, Alfredo",Men,+ 79.38KG (Heavyweight),Bronze
Argentina,ARG,43416755,13431.8783398577,1924,Paris,Boxing,Boxing,"QUARTUCCI, Pedro",Men,53.52 - 57.15KG (Featherweight),Bronze
Argentina,ARG,43416755,13431.8783398577,1924,Paris,Boxing,Boxing,"COPELLO, Alfredo",Men,57.15 - 61.24KG (Lightweight),Silver
Argentina,ARG,43416755,13431.8783398577,1924,Paris,Boxing,Boxing,"MENDEZ, Hector",Men,61.24 - 66.68KG (Welterweight),Silver
Argentina,ARG,43416755,13431.8783398577,1924,Paris,Polo,Polo,"KENNY, Arturo",Men,Polo,Gold
Argentina,ARG,43416755,13431.8783398577,1924,Paris,Polo,Polo,"MILES, Juan",Men,Polo,Gold
Argentina,ARG,43416755,13431.8783398577,1924,Paris,Polo,Polo,"NAYLOR, Guillermo",Men,Polo,Gold
Argentina,ARG,43416755,13431.8783398577,1924,Paris,Polo,Polo,"NELSON, Juan",Men,Polo,Gold
Argentina,ARG,43416755,13431.8783398577,1924,Paris,Polo,Polo,"PADILLA, Enrique",Men,Polo,Gold
Argentina,ARG,43416755,13431.8783398577,1924,Paris,Polo,Polo,"PENA, A.",Men,Polo,Gold
Argentina,ARG,43416755,13431.8783398577,1928,Amsterdam,Aquatics,Swimming,"ZORRILLA, Victoriano",Men,400M Freestyle,Gold
Argentina,ARG,43416755,13431.8783398577,1928,Amsterdam,Boxing,Boxing,"RODRIGUEZ JURADO, Arturo",Men,+ 79.38KG (Heavyweight),Gold
Argentina,ARG,43416755,13431.8783398577,1928,Amsterdam,Boxing,Boxing,"PERALTA, Victor",Men,53.52 - 57.15KG (Featherweight),Silver
Argentina,ARG,43416755,13431.8783398577,1928,Amsterdam,Boxing,Boxing,"LANDINI, Raul",Men,61.24 - 66.68KG (Welterweight),Silver
Argentina,ARG,43416755,13431.8783398577,1928,Amsterdam,Boxing,Boxing,"AVENDANO, Victor",Men,72.57 - 79.38KG (Light-Heavyweight),Gold
Argentina,ARG,43416755,13431.8783398577,1928,Amsterdam,Fencing,Fencing,"ANGANUZZI, Raul",Men,Foil Team,Bronze
Argentina,ARG,43416755,13431.8783398577,1928,Amsterdam,Fencing,Fencing,"CAMET, Carmelo F.",Men,Foil Team,Bronze
Argentina,ARG,43416755,13431.8783398577,1928,Amsterdam,Fencing,Fencing,"LARRAZ, Roberto",Men,Foil Team,Bronze
Argentina,ARG,43416755,13431.8783398577,1928,Amsterdam,Fencing,Fencing,"LUCCHETTI, Hector Pablo",Men,Foil Team,Bronze
