Country,Population,GDP_per_Capita,Year,Medal
Afghanistan,32526562,594.323081219966,2008,Bronze
Afghanistan,32526562,594.323081219966,2012,Bronze
Algeria,39666519,4206.03123244958,1984,Bronze
Algeria,39666519,4206.03123244958,1984,Bronze
Algeria,39666519,4206.03123244958,1992,Gold
Algeria,39666519,4206.03123244958,1992,Bronze
Algeria,39666519,4206.03123244958,1996,Gold
Algeria,39666519,4206.03123244958,1996,Gold
Algeria,39666519,4206.03123244958,1996,Bronze
Algeria,39666519,4206.03123244958,2000,Gold
Algeria,39666519,4206.03123244958,2000,Silver
Algeria,39666519,4206.03123244958,2000,Bronze
Algeria,39666519,4206.03123244958,2000,Bronze
Algeria,39666519,4206.03123244958,2000,Bronze
Algeria,39666519,4206.03123244958,2008,Bronze
Algeria,39666519,4206.03123244958,2008,Silver
Algeria,39666519,4206.03123244958,2012,Gold
Argentina,43416755,13431.8783398577,1924,Silver
Argentina,43416755,13431.8783398577,1924,Bronze
Argentina,43416755,13431.8783398577,1924,Bronze
Argentina,43416755,13431.8783398577,1924,Silver
Argentina,43416755,13431.8783398577,1924,Silver
Argentina,43416755,13431.8783398577,1924,Gold
Argentina,43416755,13431.8783398577,1924,Gold
Argentina,43416755,13431.8783398577,1924,Gold
Argentina,43416755,13431.8783398577,1924,Gold
Argentina,43416755,13431.8783398577,1924,Gold
Argentina,43416755,13431.8783398577,1924,Gold
Argentina,43416755,13431.8783398577,1928,Gold
Argentina,43416755,13431.8783398577,1928,Gold
Argentina,43416755,13431.8783398577,1928,Silver
Argentina,43416755,13431.8783398577,1928,Silver
Argentina,43416755,13431.8783398577,1928,Gold
Argentina,43416755,13431.8783398577,1928,Bronze
Argentina,43416755,13431.8783398577,1928,Bronze
Argentina,43416755,13431.8783398577,1928,Bronze
Argentina,43416755,13431.8783398577,1928,Bronze
Argentina,43416755,13431.8783398577,1928,Bronze
Argentina,43416755,13431.8783398577,1928,Silver
Argentina,43416755,13431.8783398577,1928,Silver
Argentina,43416755,13431.8783398577,1928,Silver
Argentina,43416755,13431.8783398577,1928,Silver
Argentina,43416755,13431.8783398577,1928,Silver
Argentina,43416755,13431.8783398577,1928,Silver
Argentina,43416755,13431.8783398577,1928,Silver
Argentina,43416755,13431.8783398577,1928,Silver
Argentina,43416755,13431.8783398577,1928,Silver
Argentina,43416755,13431.8783398577,1928,Silver
Argentina,43416755,13431.8783398577,1928,Silver
Argentina,43416755,13431.8783398577,1928,Silver
Argentina,43416755,13431.8783398577,1928,Silver
Argentina,43416755,13431.8783398577,1928,Silver
Argentina,43416755,13431.8783398577,1928,Silver
Argentina,43416755,13431.8783398577,1928,Silver
Argentina,43416755,13431.8783398577,1928,Silver
Argentina,43416755,13431.8783398577,1928,Silver
Argentina,43416755,13431.8783398577,1928,Silver
Argentina,43416755,13431.8783398577,1928,Silver
Argentina,43416755,13431.8783398577,1928,Silver
Argentina,43416755,13431.8783398577,1928,Silver
Argentina,43416755,13431.8783398577,1932,Gold
Argentina,43416755,13431.8783398577,1932,Gold
Argentina,43416755,13431.8783398577,1932,Gold
