Country,Code,Population,GDP_per_Capita,Year,City,Sport,Discipline,Athlete,Gender,Event,Medal
Australia,AUS,23781169,56310.9629933721,1994,Lillehammer,Skating,Short Track Speed Skating,"BRADBURY, Steven",Men,5000M Relay,Bronze
Australia,AUS,23781169,56310.9629933721,1994,Lillehammer,Skating,Short Track Speed Skating,"HANSEN, Kieran",Men,5000M Relay,Bronze
Australia,AUS,23781169,56310.9629933721,1994,Lillehammer,Skating,Short Track Speed Skating,"MURTHA, Andrew",Men,5000M Relay,Bronze
Australia,AUS,23781169,56310.9629933721,1994,Lillehammer,Skating,Short Track Speed Skating,"NIZIELSKI, Richard",Men,5000M Relay,Bronze
Australia,AUS,23781169,56310.9629933721,1998,Nagano,Skiing,Alpine Skiing,"STEGGALL, Zali",Women,Slalom,Bronze
Australia,AUS,23781169,56310.9629933721,2002,Salt Lake City,Skating,Short Track Speed Skating,"BRADBURY, Steven",Men,1000M,Gold
Australia,AUS,23781169,56310.9629933721,2002,Salt Lake City,Skiing,Freestyle Skiing,"CAMPLIN, Alisa",Women,Aerials,Gold
Australia,AUS,23781169,56310.9629933721,2006,Turin,Skiing,Freestyle Skiing,"CAMPLIN, Alisa",Women,Aerials,Bronze
Australia,AUS,23781169,56310.9629933721,2006,Turin,Skiing,Freestyle Skiing,"BEGG-SMITH, Dale",Men,Moguls,Gold
Australia,AUS,23781169,56310.9629933721,2010,Vancouver,Skiing,Freestyle Skiing,"LASSILA, Lydia",Women,Aerials,Gold
Australia,AUS,23781169,56310.9629933721,2010,Vancouver,Skiing,Freestyle Skiing,"BEGG-SMITH, Dale",Men,Moguls,Silver
Australia,AUS,23781169,56310.9629933721,2010,Vancouver,Skiing,Snowboard,"BRIGHT, Torah",Women,Half-Pipe,Gold
Australia,AUS,23781169,56310.9629933721,2014,Sochi,Skiing,Freestyle Skiing,"MORRIS, David",Men,Aerials,Silver
Australia,AUS,23781169,56310.9629933721,2014,Sochi,Skiing,Freestyle Skiing,"LASSILA, Lydia",Women,Aerials,Bronze
Australia,AUS,23781169,56310.9629933721,2014,Sochi,Skiing,Snowboard,"BRIGHT, Torah",Women,Half-Pipe,Silver
Austria,AUT,8611088,43774.985173612,1924,Chamonix,Skating,Figure skating,"BÖCKL, Willy",Men,Individual,Silver
Austria,AUT,8611088,43774.985173612,1924,Chamonix,Skating,Figure skating,"SZABO-PLANK, Herma",Women,Individual,Gold
Austria,AUT,8611088,43774.985173612,1924,Chamonix,Skating,Figure skating,"BERGER, Alfred",Men,Pairs,Gold
Austria,AUT,8611088,43774.985173612,1924,Chamonix,Skating,Figure skating,"ENGELMANN, Helene",Women,Pairs,Gold
Austria,AUT,8611088,43774.985173612,1928,St.Moritz,Skating,Figure skating,"BÖCKL, Willy",Men,Individual,Silver
Austria,AUT,8611088,43774.985173612,1928,St.Moritz,Skating,Figure skating,"BURGER, Fritzi",Women,Individual,Silver
Austria,AUT,8611088,43774.985173612,1928,St.Moritz,Skating,Figure skating,"BRUNNER, Melitta",Women,Pairs,Bronze
Austria,AUT,8611088,43774.985173612,1928,St.Moritz,Skating,Figure skating,"WREDE, Ludwig",Men,Pairs,Bronze
Austria,AUT,8611088,43774.985173612,1928,St.Moritz,Skating,Figure skating,"KAISER, Otto",Men,Pairs,Silver
Austria,AUT,8611088,43774.985173612,1928,St.Moritz,Skating,Figure skating,"SCHOLZ, Lilly",Women,Pairs,Silver
Austria,AUT,8611088,43774.985173612,1932,Lake Placid,Skating,Figure skating,"SCHÄFER, Karl",Men,Individual,Gold
Austria,AUT,8611088,43774.985173612,1932,Lake Placid,Skating,Figure skating,"BURGER, Fritzi",Women,Individual,Silver
Austria,AUT,8611088,43774.985173612,1936,Garmisch Partenkirchen,Skating,Figure skating,"KASPAR, Felix",Men,Individual,Bronze
Austria,AUT,8611088,43774.985173612,1936,Garmisch Partenkirchen,Skating,Figure skating,"SCHÄFER, Karl",Men,Individual,Gold
Austria,AUT,8611088,43774.985173612,1936,Garmisch Partenkirchen,Skating,Figure skating,"PAUSIN, Erik",Men,Pairs,Silver
Austria,AUT,8611088,43774.985173612,1936,Garmisch Partenkirchen,Skating,Figure skating,"PAUSIN, Ilse",Women,Pairs,Silver
Austria,AUT,8611088,43774.985173612,1936,Garmisch Partenkirchen,Skating,Speed skating,"STIEPL, Max",Men,10000M,Bronze
Austria,AUT,8611088,43774.985173612,1948,St.Moritz,Skating,Figure skating,"RADA, Edi",Men,Individual,Bronze
Austria,AUT,8611088,43774.985173612,1948,St.Moritz,Skating,Figure skating,"PAWLIK, Eva",Women,Individual,Silver
Austria,AUT,8611088,43774.985173612,1948,St.Moritz,Skiing,Alpine Skiing,"MAHRINGER, Erika",Women,Alpine Combined,Bronze
Austria,AUT,8611088,43774.985173612,1948,St.Moritz,Skiing,Alpine Skiing,"BEISER-JOCHUM, Trude",Women,Alpine Combined,Gold
Austria,AUT,8611088,43774.985173612,1948,St.Moritz,Skiing,Alpine Skiing,"GABL, Franz",Men,Downhill,Silver
Austria,AUT,8611088,43774.985173612,1948,St.Moritz,Skiing,Alpine Skiing,"HAMMERER, Resi",Women,Downhill,Bronze
Austria,AUT,8611088,43774.985173612,1948,St.Moritz,Skiing,Alpine Skiing,"BEISER-JOCHUM, Trude",Women,Downhill,Silver
Austria,AUT,8611088,43774.985173612,1948,St.Moritz,Skiing,Alpine Skiing,"MAHRINGER, Erika",Women,Slalom,Bronze
Austria,AUT,8611088,43774.985173612,1952,Oslo,Skating,Figure skating,"SEIBT, Hellmut",Men,Individual,Silver
Austria,AUT,8611088,43774.985173612,1952,Oslo,Skiing,Alpine Skiing,"PRAVDA, Christian",Men,Downhill,Bronze
Austria,AUT,8611088,43774.985173612,1952,Oslo,Skiing,Alpine Skiing,"SCHNEIDER, Othmar",Men,Downhill,Silver
Austria,AUT,8611088,43774.985173612,1952,Oslo,Skiing,Alpine Skiing,"BEISER-JOCHUM, Trude",Women,Downhill,Gold
Austria,AUT,8611088,43774.985173612,1952,Oslo,Skiing,Alpine Skiing,"SPIESS, Toni",Men,Giant Slalom,Bronze
Austria,AUT,8611088,43774.985173612,1952,Oslo,Skiing,Alpine Skiing,"PRAVDA, Christian",Men,Giant Slalom,Silver
Austria,AUT,8611088,43774.985173612,1952,Oslo,Skiing,Alpine Skiing,"ROM, Dagmar",Women,Giant Slalom,Silver
Austria,AUT,8611088,43774.985173612,1952,Oslo,Skiing,Alpine Skiing,"SCHNEIDER, Othmar",Men,Slalom,Gold
Austria,AUT,8611088,43774.985173612,1956,Cortina d'Ampezzo,Skating,Figure skating,"WENDL, Ingrid",Women,Individual,Bronze
Austria,AUT,8611088,43774.985173612,1956,Cortina d'Ampezzo,Skating,Figure skating,"OPPELT, Kurt",Men,Pairs,Gold
Austria,AUT,8611088,43774.985173612,1956,Cortina d'Ampezzo,Skating,Figure skating,"SCHWARZ, Elisabeth",Women,Pairs,Gold
Austria,AUT,8611088,43774.985173612,1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,"MOLTERER, Andreas",Men,Downhill,Bronze
Austria,AUT,8611088,43774.985173612,1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,"SAILER, Anton",Men,Downhill,Gold
Austria,AUT,8611088,43774.985173612,1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,"SCHUSTER, Walter",Men,Giant Slalom,Bronze
Austria,AUT,8611088,43774.985173612,1956,Cortina d'Ampezzo,Skiing,Alpine Skiing,"SAILER, Anton",Men,Giant Slalom,Gold
