Country,Population,GDP per Capita,Year,Medal
Australia,23781169,56310.9629933721,1994,Bronze
Australia,23781169,56310.9629933721,1994,Bronze
Australia,23781169,56310.9629933721,1994,Bronze
Australia,23781169,56310.9629933721,1994,Bronze
Australia,23781169,56310.9629933721,1998,Bronze
Australia,23781169,56310.9629933721,2002,Gold
Australia,23781169,56310.9629933721,2002,Gold
Australia,23781169,56310.9629933721,2006,Bronze
Australia,23781169,56310.9629933721,2006,Gold
Australia,23781169,56310.9629933721,2010,Gold
Australia,23781169,56310.9629933721,2010,Silver
Australia,23781169,56310.9629933721,2010,Gold
Australia,23781169,56310.9629933721,2014,Silver
Australia,23781169,56310.9629933721,2014,Bronze
Australia,23781169,56310.9629933721,2014,Silver
Austria,8611088,43774.985173612,1924,Silver
Austria,8611088,43774.985173612,1924,Gold
Austria,8611088,43774.985173612,1924,Gold
Austria,8611088,43774.985173612,1924,Gold
Austria,8611088,43774.985173612,1928,Silver
Austria,8611088,43774.985173612,1928,Silver
Austria,8611088,43774.985173612,1928,Bronze
Austria,8611088,43774.985173612,1928,Bronze
Austria,8611088,43774.985173612,1928,Silver
Austria,8611088,43774.985173612,1928,Silver
Austria,8611088,43774.985173612,1932,Gold
Austria,8611088,43774.985173612,1932,Silver
Austria,8611088,43774.985173612,1936,Bronze
Austria,8611088,43774.985173612,1936,Gold
Austria,8611088,43774.985173612,1936,Silver
Austria,8611088,43774.985173612,1936,Silver
Austria,8611088,43774.985173612,1936,Bronze
Austria,8611088,43774.985173612,1948,Bronze
Austria,8611088,43774.985173612,1948,Silver
Austria,8611088,43774.985173612,1948,Bronze
Austria,8611088,43774.985173612,1948,Gold
Austria,8611088,43774.985173612,1948,Silver
Austria,8611088,43774.985173612,1948,Bronze
Austria,8611088,43774.985173612,1948,Silver
Austria,8611088,43774.985173612,1948,Bronze
Austria,8611088,43774.985173612,1952,Silver
Austria,8611088,43774.985173612,1952,Bronze
Austria,8611088,43774.985173612,1952,Silver
Austria,8611088,43774.985173612,1952,Gold
Austria,8611088,43774.985173612,1952,Bronze
Austria,8611088,43774.985173612,1952,Silver
Austria,8611088,43774.985173612,1952,Silver
Austria,8611088,43774.985173612,1952,Gold
Austria,8611088,43774.985173612,1956,Bronze
Austria,8611088,43774.985173612,1956,Gold
Austria,8611088,43774.985173612,1956,Gold
Austria,8611088,43774.985173612,1956,Bronze
Austria,8611088,43774.985173612,1956,Gold
Austria,8611088,43774.985173612,1956,Bronze
Austria,8611088,43774.985173612,1956,Gold
Austria,8611088,43774.985173612,1956,Silver
Austria,8611088,43774.985173612,1956,Bronze
Austria,8611088,43774.985173612,1956,Silver
Austria,8611088,43774.985173612,1956,Gold
Austria,8611088,43774.985173612,1956,Silver
Austria,8611088,43774.985173612,1960,Bronze
Austria,8611088,43774.985173612,1960,Bronze
Austria,8611088,43774.985173612,1960,Silver
Austria,8611088,43774.985173612,1960,Gold
Austria,8611088,43774.985173612,1960,Silver
Austria,8611088,43774.985173612,1960,Bronze
Austria,8611088,43774.985173612,1964,Silver
Austria,8611088,43774.985173612,1964,Silver
Austria,8611088,43774.985173612,1964,Silver
Austria,8611088,43774.985173612,1964,Silver
Austria,8611088,43774.985173612,1964,Gold
Austria,8611088,43774.985173612,1964,Gold
Austria,8611088,43774.985173612,1964,Silver
Austria,8611088,43774.985173612,1964,Silver
Austria,8611088,43774.985173612,1964,Bronze
Austria,8611088,43774.985173612,1964,Silver
Austria,8611088,43774.985173612,1964,Gold
Austria,8611088,43774.985173612,1964,Bronze
Austria,8611088,43774.985173612,1964,Gold
Austria,8611088,43774.985173612,1964,Silver
Austria,8611088,43774.985173612,1964,Bronze
Austria,8611088,43774.985173612,1964,Silver
Austria,8611088,43774.985173612,1964,Gold
Austria,8611088,43774.985173612,1968,Silver
Austria,8611088,43774.985173612,1968,Silver
Austria,8611088,43774.985173612,1968,Silver
Austria,8611088,43774.985173612,1968,Silver
Austria,8611088,43774.985173612,1968,Silver
Austria,8611088,43774.985173612,1968,Silver
Austria,8611088,43774.985173612,1968,Gold
Austria,8611088,43774.985173612,1968,Gold
Austria,8611088,43774.985173612,1968,Bronze
Austria,8611088,43774.985173612,1968,Gold
Austria,8611088,43774.985173612,1968,Bronze
Austria,8611088,43774.985173612,1968,Bronze
Austria,8611088,43774.985173612,1968,Silver
Austria,8611088,43774.985173612,1968,Bronze
Austria,8611088,43774.985173612,1968,Silver
Austria,8611088,43774.985173612,1972,Gold
Austria,8611088,43774.985173612,1972,Bronze
Austria,8611088,43774.985173612,1972,Silver
Austria,8611088,43774.985173612,1972,Bronze
Austria,8611088,43774.985173612,1972,Silver
Austria,8611088,43774.985173612,1976,Bronze
Austria,8611088,43774.985173612,1976,Bronze
Austria,8611088,43774.985173612,1976,Gold
Austria,8611088,43774.985173612,1976,Silver
Austria,8611088,43774.985173612,1976,Gold
Austria,8611088,43774.985173612,1976,Silver
Austria,8611088,43774.985173612,1976,Bronze
Austria,8611088,43774.985173612,1980,Bronze
Austria,8611088,43774.985173612,1980,Bronze
Austria,8611088,43774.985173612,1980,Gold
Austria,8611088,43774.985173612,1980,Silver
Austria,8611088,43774.985173612,1980,Gold
Austria,8611088,43774.985173612,1980,Bronze
Austria,8611088,43774.985173612,1980,Silver
Austria,8611088,43774.985173612,1980,Gold
Austria,8611088,43774.985173612,1984,Bronze
Austria,8611088,43774.985173612,1988,Silver
Austria,8611088,43774.985173612,1988,Bronze
Austria,8611088,43774.985173612,1988,Gold
Austria,8611088,43774.985173612,1988,Silver
Austria,8611088,43774.985173612,1988,Gold
Austria,8611088,43774.985173612,1988,Silver
Austria,8611088,43774.985173612,1988,Silver
Austria,8611088,43774.985173612,1988,Gold
Austria,8611088,43774.985173612,1988,Silver
Austria,8611088,43774.985173612,1988,Bronze
Austria,8611088,43774.985173612,1988,Bronze
Austria,8611088,43774.985173612,1988,Bronze
Austria,8611088,43774.985173612,1992,Gold
Austria,8611088,43774.985173612,1992,Gold
Austria,8611088,43774.985173612,1992,Gold
Austria,8611088,43774.985173612,1992,Gold
Austria,8611088,43774.985173612,1992,Bronze
Austria,8611088,43774.985173612,1992,Silver
Austria,8611088,43774.985173612,1992,Gold
Austria,8611088,43774.985173612,1992,Silver
Austria,8611088,43774.985173612,1992,Bronze
Austria,8611088,43774.985173612,1992,Gold
Austria,8611088,43774.985173612,1992,Silver
Austria,8611088,43774.985173612,1992,Bronze
Austria,8611088,43774.985173612,1992,Gold
Austria,8611088,43774.985173612,1992,Bronze
Austria,8611088,43774.985173612,1992,Silver
Austria,8611088,43774.985173612,1992,Bronze
Austria,8611088,43774.985173612,1992,Gold
