Country,GDP_per_Capita,count(*)
Australia,56310.9629933721,12
Austria,43774.985173612,121
Belarus,5740.45649479562,14
Belgium,40324.0277657215,1
Bulgaria,6993.47735975728,5
Canada,43248.529909341,119
China,8027.68381013907,48
Croatia,11535.8293558997,11
Czech Republic,17548.3382129701,24
Denmark,51989.2934712354,1
Estonia,17118.5042003236,7
Finland,42311.0362306446,56
France,36205.5681017036,68
Germany,41313.3139945434,186
Italy,29957.8043154372,86
Japan,32477.2151449234,37
Kazakhstan,10509.9810699442,7
"Korea, North",,1
"Korea, South",27221.5240509661,45
Latvia,13648.5475564772,7
Liechtenstein,,1
Luxembourg,101449.968168042,2
Netherlands,44299.768085383,66
New Zealand,37807.9672760442,1
Norway,74400.3697770928,162
Poland,12554.5475536313,16
Russia,9092.58053606884,121
Slovakia,16088.2775872723,5
Slovenia,20726.5398863708,14
Spain,25831.5823052954,1
Sweden,50579.6736486777,61
Switzerland,80945.0792194742,75
Ukraine,2114.95471628444,7
United Kingdom,43875.9696143686,11
United States,56115.7184261955,141
Uzbekistan,2132.07036847857,1
