Country,Medal,count(*)
Afghanistan,Bronze,2
Algeria,Bronze,6
Algeria,Gold,5
Algeria,Silver,2
Argentina,Bronze,73
Argentina,Gold,47
Argentina,Silver,53
Armenia,Bronze,8
Armenia,Gold,1
Armenia,Silver,2
Australia,Bronze,329
Australia,Gold,223
Australia,Silver,274
Austria,Bronze,5
Austria,Gold,7
Austria,Silver,13
Azerbaijan,Bronze,15
Azerbaijan,Gold,6
Azerbaijan,Silver,5
Bahamas,Bronze,3
Bahamas,Gold,11
Bahamas,Silver,9
Bahrain,Bronze,1
Barbados,Bronze,1
Belarus,Bronze,59
Belarus,Gold,17
Belarus,Silver,37
Belgium,Bronze,14
Belgium,Gold,4
Belgium,Silver,11
Botswana,Silver,1
Brazil,Bronze,126
Brazil,Gold,65
Brazil,Silver,137
Bulgaria,Bronze,50
Bulgaria,Gold,24
Bulgaria,Silver,42
Burundi,Gold,1
Cameroon,Bronze,1
Cameroon,Gold,20
Canada,Bronze,108
Canada,Gold,58
Canada,Silver,89
Chile,Bronze,19
Chile,Gold,3
Chile,Silver,2
China,Bronze,184
China,Gold,264
China,Silver,283
Colombia,Bronze,9
Colombia,Gold,2
Colombia,Silver,4
Costa Rica,Bronze,2
Costa Rica,Gold,1
Costa Rica,Silver,1
Croatia,Bronze,34
Croatia,Gold,46
Croatia,Silver,34
Cuba,Bronze,76
Cuba,Gold,143
Cuba,Silver,101
Cyprus,Silver,1
Czech Republic,Bronze,20
Czech Republic,Gold,14
Czech Republic,Silver,22
Denmark,Bronze,41
Denmark,Gold,74
Denmark,Silver,18
Djibouti,Bronze,1
Dominican Republic,Gold,3
Dominican Republic,Silver,2
Ecuador,Gold,1
Ecuador,Silver,1
Egypt,Bronze,5
Egypt,Gold,1
Egypt,Silver,4
Eritrea,Bronze,1
Estonia,Bronze,7
Estonia,Gold,3
Estonia,Silver,4
Ethiopia,Bronze,12
Ethiopia,Gold,16
Ethiopia,Silver,7
Finland,Bronze,11
Finland,Gold,7
Finland,Silver,14
France,Bronze,162
France,Gold,140
France,Silver,112
Gabon,Silver,1
Georgia,Bronze,14
Georgia,Gold,6
Georgia,Silver,5
Germany,Bronze,299
Germany,Gold,282
Germany,Silver,204
Ghana,Bronze,13
Greece,Bronze,21
Greece,Gold,18
Greece,Silver,31
Grenada,Gold,1
Guatemala,Silver,1
Hong Kong*,Bronze,1
Hong Kong*,Gold,1
Hong Kong*,Silver,2
Hungary,Bronze,66
Hungary,Gold,119
Hungary,Silver,93
Iceland,Bronze,1
Iceland,Silver,14
India,Bronze,8
India,Gold,1
India,Silver,3
Indonesia,Bronze,13
Indonesia,Gold,9
Indonesia,Silver,16
Iran,Bronze,9
Iran,Gold,12
Iran,Silver,11
Ireland,Bronze,7
Ireland,Gold,5
Ireland,Silver,4
Israel,Bronze,5
Israel,Gold,1
Israel,Silver,1
Italy,Bronze,168
Italy,Gold,122
Italy,Silver,133
Jamaica,Bronze,41
Jamaica,Gold,24
Jamaica,Silver,38
Japan,Bronze,174
Japan,Gold,66
Japan,Silver,142
Kazakhstan,Bronze,20
Kazakhstan,Gold,12
Kazakhstan,Silver,17
Kenya,Bronze,21
Kenya,Gold,19
Kenya,Silver,25
"Korea, North",Bronze,17
"Korea, North",Gold,12
"Korea, North",Silver,7
"Korea, South",Bronze,138
"Korea, South",Gold,151
"Korea, South",Silver,169
Kuwait,Bronze,2
Kyrgyzstan,Bronze,2
Kyrgyzstan,Silver,1
Latvia,Bronze,5
